Username,Name,Description,Avg Betweenness,Avg In Degree,Avg Page Rank,Num Days With Top N Betweenness,Num Days With Top N In Degree,Num Days With Top N Page Rank
kicchasudeep,Kichcha Sudeepa,"A, D, P 🎬",1071633.41022575,154.678571429,19.512524929,11,28,27
khulood_almani,د. خلود صالح المانع | Dr. Khulood Almani #MWC22,#Top 3️⃣ #Tech #World #Influencer #CES2022 #MWC22 التحول_الرقمي #الابتكار |#innovation|#entrepreneurship|#consultant,1116820.98284023,74.387096774,12.059762516,29,31,31
vikrantrona,VikrantRona,"Official Account Of #VikrantRona, the Movie starring Reveal of #VikrantRonaGlimpse 🔥🌟",24721.9844985,60.916666667,6.1464215,0,12,6
haroldsinnott,Harold Sinnott #MWC22,"Technology influencer, speaker, author, digital consultant. #MWC22 #DigitalTransformation #AI #5G #IoT #Cloud #FutureOfWork #Automation #RPA #SDGs",226408.044206241,37.068965517,3.572976897,7,29,11
vault_hill,Vault Hill,An extended reality Blockchain-based metaverse designed to make you feel more human.,2487909.32302419,84.952380952,32.296336333,20,21,21
glengilmore,Glen Gilmore | 🥽Metaverse 🕳🐇 #MWC22,"he/him ⚖️ | TIME ""man of action"" 📕Author | Adj 🏛Mayor Emeritus | #TechForGood #SDGs #web3 #Metaverse #5G 🏥 🌍 📆 #MWC22",561490.682805857,34.428571429,4.50372075,16,28,11
shi4tech,Shi4Tech 💙 #TechForGood 💙,"Tech Influencer. Minimalist. Proud supporter of change-makers. #SDGs #AI #TechForGood #Innovation #CyberSecurity #FutureOfWork NO Direct Messages, Please💙",244595.9175832,66.766666667,5.156578467,14,30,18
labordeolivier,Olivier Laborde #StandWithUkraine🇺🇦🇪🇺,Columnist - Author of #Innoveroudisparaitre - #Innovation #Digital Evangelist #CDO #CMO #FinTech #Lab #Intrapreneur - #Rugby #Surf - Tweets are my own,200777.600811034,48.965517241,4.593395897,10,29,13
enricomolinari,🔛 Enrico Molinari #FinTech #MWC2022 🇮🇹🇪🇺🇺🇸,innovation manager & CMO ⭐ university marketing fintech ESG prof ⭐ keynote speaker & journalist ⭐ Top Global FinTech influencer,320224.13885825,34.95,4.6663782,9,18,9
fabriziobustama,Fabrizio Bustamante #MWC22,Vision of the Future! Entrepreneur. #Futureofwork #Blockchain #Al #Crypto #Marketing #Industry40 #Bigdata #Fintech #Cloud #Innovation #ML #AR #IoT #5G,185133.575414667,54.7,4.732641833,9,30,14
